ADDRESS,NEIGHBOURHOOD_NAME,WARD,ZONING,SECTOR,SIZE (m2),TYPOLOGY,KNOWN PLANNING APPLICATIONS,OWNERSHIP_TYPE,GROUPS,LATITUDE,LONGITUDE,LOCATION,Geometry Point
9531 108 AVENUE NW,McCauley,6,RA7,Central,375.021,Central Core,NA,PRIVATE,47,53.5542401777197,-113.485481002904,"(53.5542401777197, -113.485481002904)",POINT (-113.485481002904 53.5542401777197)
10612 96 STREET NW,McCauley,6,RF6,Central,307.096,Central Core,NA,PRIVATE,,53.5509882572274,-113.48598598528,"(53.5509882572274, -113.48598598528)",POINT (-113.48598598528 53.5509882572274)
11537 80 STREET NW,Parkdale,7,PU,Central,368.37,Mature,NA,MUNICIPAL,116,53.5669015882505,-113.464203871361,"(53.5669015882505, -113.464203871361)",POINT (-113.464203871361 53.5669015882505)
10543 123 STREET NW,Westmount,6,CB2,Central,1392.438,Mature,NA,PRIVATE,95,53.5489928225324,-113.533630881707,"(53.5489928225324, -113.533630881707)",POINT (-113.533630881707 53.5489928225324)
8409 118 AVENUE NW,Parkdale,7,CB2,Central,222.951,Mature,NA,PRIVATE,,53.5701935279282,-113.470941437829,"(53.5701935279282, -113.470941437829)",POINT (-113.470941437829 53.5701935279282)
10530 104 STREET NW,Central McDougall,6,PU,Central,696.891,Central Core,"1) To rezone form DC1 to DC1, bylaw # 16852",PRIVATE,,53.5489299108878,-113.499767122671,"(53.5489299108878, -113.499767122671)",POINT (-113.499767122671 53.5489299108878)
7616 75 STREET NW,King Edward Park,11,RF3,Central,222.913,Mature,NA,PRIVATE,,53.512836034163,-113.443718964747,"(53.512836034163, -113.443718964747)",POINT (-113.443718964747 53.512836034163)
13119 104 AVENUE NW,Glenora,6,RF1,Central,603.037,Mature,"1) Minor Development Permit: Job No 142781727-001: To construct a Semi-Detached House with Front Veranda, Rear Uncovered Decks (max. 3.05m x 10.67m), and fireplaces 2) Accessory Building Development Permit: Job No 142781727-003: To Construct an Accessory Building (Rear Detached Garage - 6.40m x 11.28m)",PRIVATE,,53.5459037244779,-113.549260515465,"(53.5459037244779, -113.549260515465)",POINT (-113.549260515465 53.5459037244779)
11022 106 AVENUE NW,Queen Mary Park,6,RA8,Central,197.443,Central Core,NA,PRIVATE,,53.55004733108,-113.511410618377,"(53.55004733108, -113.511410618377)",POINT (-113.511410618377 53.55004733108)
10928 151 STREET NW,High Park,1,RF1,Central,549.867,Mature,NA,PRIVATE,,53.5549809337554,-113.582114001866,"(53.5549809337554, -113.582114001866)",POINT (-113.582114001866 53.5549809337554)
9211 111 AVENUE NW,McCauley,6,CB1,Central,312.86,Central Core,NA,PRIVATE,54,53.5602536678724,-113.48347095951,"(53.5602536678724, -113.48347095951)",POINT (-113.48347095951 53.5602536678724)
10882 98 STREET NW,McCauley,6,DC1,Central,226.098,Central Core,NA,PRIVATE,,53.5554632370673,-113.492644356669,"(53.5554632370673, -113.492644356669)",POINT (-113.492644356669 53.5554632370673)
10311 96 STREET NW,Boyle Street,6,DC1,Central,306.974,Central Core,NA,PRIVATE,,53.5467787487501,-113.483095149089,"(53.5467787487501, -113.483095149089)",POINT (-113.483095149089 53.5467787487501)
9925 87 STREET NW,Riverdale,6,RF2,Central,403.23,Central Core,"1) House Development Permit: Job No 146633933-001: To construct a single detached house with front attached garage, rear partially covered deck (covered 3.81 m x 4.09 m, uncovered 1.07 m x 4.09 m), front veranda, gas fireplace, balcony (roof top terrace with hot tub), and basement development (not to be used as an additional dwelling).",PRIVATE,72,53.5416570104095,-113.464217711513,"(53.5416570104095, -113.464217711513)",POINT (-113.464217711513 53.5416570104095)
12225 77 STREET NW,Elmwood Park,7,RF3,Central,695.647,Mature,NA,PRIVATE,135,53.5776115451322,-113.459450947166,"(53.5776115451322, -113.459450947166)",POINT (-113.459450947166 53.5776115451322)
9511 105 AVENUE NW,Boyle Street,6,RA7,Central,324.01,Central Core,NA,PRIVATE,16,53.5492114549727,-113.481879262748,"(53.5492114549727, -113.481879262748)",POINT (-113.481879262748 53.5492114549727)
10135 88 STREET NW,Riverdale,6,RF2,Central,349.483,Central Core,"1) Acessory Building Development Permit: Job No 151506296-002: To construct an Accessory Building (rear detached garage 7.32m x 5.49m) 2) House Development Permit: Job No 151506296-001: To construct a Single Detached House with front veranda, fireplace, Basement development (not to be used as an additional Dwelling), rear uncovered deck (2.44m x 5.18m) and roof top patio.",PRIVATE,71,53.544805266559,-113.466697206259,"(53.544805266559, -113.466697206259)",POINT (-113.466697206259 53.544805266559)
7222 99 STREET NW,Ritchie,11,IB,Central,387.492,Mature,NA,PRIVATE,,53.5092076013053,-113.486405165803,"(53.5092076013053, -113.486405165803)",POINT (-113.486405165803 53.5092076013053)
11420 71 AVENUE NW,Belgravia,8,RF1,Central,663.538,Mature,1) Rezoning: To rezone from RF1 to RA7 2) Minor Development Permit: Job No 145778279-001: To demolish a Single Detached House and Accessory Building (rear detached Garage),PRIVATE,169,53.5079564406504,-113.526579834082,"(53.5079564406504, -113.526579834082)",POINT (-113.526579834082 53.5079564406504)
12415 48 STREET NW,Bergman,7,RF1,Central,287.756,Mature,NA,PRIVATE,140,53.5807382374976,-113.414866283038,"(53.5807382374976, -113.414866283038)",POINT (-113.414866283038 53.5807382374976)
7212 156 STREET NW,Patricia Heights,5,RSL,Central,594.664,Mature,"1) House Development Permit: Job No 156103836-001: To construct a Single Detached House with attached Garage, veranda, fireplace, and covered deck (4.88m x 3.35m)",PRIVATE,168,53.5045611409382,-113.590796772942,"(53.5045611409382, -113.590796772942)",POINT (-113.590796772942 53.5045611409382)
12415 48 STREET NW,Bergman,7,RF1,Central,287.763,Mature,NA,PRIVATE,140,53.5807382374976,-113.414866283038,"(53.5807382374976, -113.414866283038)",POINT (-113.414866283038 53.5807382374976)
9835 103 STREET NW,Downtown,6,HDR,Central,684.517,Central Core,NA,MUNICIPAL,91,53.5369255669364,-113.496874265539,"(53.5369255669364, -113.496874265539)",POINT (-113.496874265539 53.5369255669364)
12447 47 STREET NW,Bergman,7,RSL,Central,288.135,Mature,NA,PRIVATE,142,53.5813208325957,-113.413328045224,"(53.5813208325957, -113.413328045224)",POINT (-113.413328045224 53.5813208325957)
11241 79 STREET NW,Cromdale,7,AP,Central,350.3,Mature,NA,MUNICIPAL,125,53.5612787389002,-113.46224992224,"(53.5612787389002, -113.46224992224)",POINT (-113.46224992224 53.5612787389002)
18004 100 AVENUE NW,Place LaRue,1,DC2,West,9389.931,Established,"1) Major Development Permit: Job No 147008019-005: To construct interior alterations (replace 2 meeting rooms with 2 Sleeping Units; increase Sleeping Units from 159 to 161) to a Hotel having an Accessory Restaurant, Bar and Neighbourhood Pub , Professional, Financial and Office Support Service & Indoor Participant Recreation Services; Hyatt Place Hotel. 2) Major Development Permit: Job No 147008019-001: To construct a Hotel (159 Sleeping Units) having an Accessory Restaurant, Bar and Neighbourhood Pub, Professional, Financial and Office Support Service & Indoor Participant Recreation Services; Hyatt Place.",PRIVATE,201,53.5387775305312,-113.63325147054,"(53.5387775305312, -113.63325147054)",POINT (-113.63325147054 53.5387775305312)
11908 132 AVENUE NW,Kensington,2,RF1,Central,622.565,Mature,NA,PRIVATE,153,53.5925252428563,-113.527462723369,"(53.5925252428563, -113.527462723369)",POINT (-113.527462723369 53.5925252428563)
9103 111 AVENUE NW,McCauley,6,CB1,Central,981.424,Central Core,1) Rezoning: To rezone from CB1 to DC6,PRIVATE,56,53.5604486852375,-113.481368004876,"(53.5604486852375, -113.481368004876)",POINT (-113.481368004876 53.5604486852375)
4706 DONSDALE DRIVE NW,Donsdale,5,RF1,West,687.074,Established,NA,PRIVATE,203,53.4857586462742,-113.631782621971,"(53.4857586462742, -113.631782621971)",POINT (-113.631782621971 53.4857586462742)
12430 47 STREET NW,Bergman,7,RF1,Central,287.786,Mature,NA,PRIVATE,144,53.5809780999014,-113.414203233816,"(53.5809780999014, -113.414203233816)",POINT (-113.414203233816 53.5809780999014)
8620 175 STREET NW,Thorncliff,5,RF1,West,787.405,Established,NA,PRIVATE,202,53.519931107363,-113.62441916854,"(53.519931107363, -113.62441916854)",POINT (-113.62441916854 53.519931107363)
13451 61 STREET NW,Belvedere,4,RF4,Central,382.493,Mature,NA,PRIVATE,,53.5972681378533,-113.434739459433,"(53.5972681378533, -113.434739459433)",POINT (-113.434739459433 53.5972681378533)
804 DRYSDALE RUN NW,Donsdale,5,RF1,West,671.942,Established,NA,PRIVATE,205,53.4827046094764,-113.636319558622,"(53.4827046094764, -113.636319558622)",POINT (-113.636319558622 53.4827046094764)
2408 83 STREET NW,Meyonohk,11,RF1,Southeast,744.312,Established,NA,PRIVATE,,53.4530073206077,-113.457742149618,"(53.4530073206077, -113.457742149618)",POINT (-113.457742149618 53.4530073206077)
10313 95 STREET NW,Boyle Street,6,DC1,Central,373.665,Central Core,NA,PRIVATE,11,53.547395447748,-113.479532889382,"(53.547395447748, -113.479532889382)",POINT (-113.479532889382 53.547395447748)
9628 105A AVENUE NW,McCauley,6,DC1,Central,375.658,Central Core,NA,PRIVATE,,53.5498962128528,-113.486508469991,"(53.5498962128528, -113.486508469991)",POINT (-113.486508469991 53.5498962128528)
10327 93 STREET NW,Boyle Street,6,DC1,Central,374.517,Central Core,NA,PRIVATE,2,,,,
9301 106A AVENUE NW,McCauley,6,PU,Central,1017.611,Central Core,NA,PRIVATE,,53.5525217801981,-113.479219917535,"(53.5525217801981, -113.479219917535)",POINT (-113.479219917535 53.5525217801981)
10132 142 STREET NW,Grovenor,6,RF1,Central,530.186,Mature,NA,PRIVATE,,53.5421815111526,-113.56620663791,"(53.5421815111526, -113.56620663791)",POINT (-113.56620663791 53.5421815111526)
15803 100A AVENUE NW,Glenwood,1,DC2,Central,505.4,Mature,NA,PRIVATE,166,53.5399840844303,-113.594177665601,"(53.5399840844303, -113.594177665601)",POINT (-113.594177665601 53.5399840844303)
9251 93 STREET NW,Bonnie Doon,8,RF3,Central,390.37,Mature,NA,PRIVATE,186,53.5284368742536,-113.469482952483,"(53.5284368742536, -113.469482952483)",POINT (-113.469482952483 53.5284368742536)
9260 STRATHEARN DRIVE NW,Strathearn,8,RF1,Central,122.115,Mature,NA,PRIVATE,,53.532627340138,-113.472294864708,"(53.532627340138, -113.472294864708)",POINT (-113.472294864708 53.532627340138)
11603 84 STREET NW,Parkdale,7,RF3,Central,208.45,Mature,NA,PRIVATE,,53.5675733213833,-113.469984933012,"(53.5675733213833, -113.469984933012)",POINT (-113.469984933012 53.5675733213833)
10802 99 STREET NW,McCauley,6,CB2,Central,2022.76,Central Core,NA,PRIVATE,,53.5536453658961,-113.492677254386,"(53.5536453658961, -113.492677254386)",POINT (-113.492677254386 53.5536453658961)
9826 100 STREET NW,Rossdale,6,DC1,Central,308.889,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",PRIVATE,73,53.536452021737,-113.491484488667,"(53.536452021737, -113.491484488667)",POINT (-113.491484488667 53.536452021737)
10231 125 STREET NW,Westmount,6,RF3,Central,348.254,Mature,1) Minor Development Permit: Job No 150724559-001: To demolish an existing Single Detached House. 2) Minor Development Permit: Job No 150724559-003: To demolish an existing Detached Garage.,PRIVATE,,53.5439864275376,-113.537171719828,"(53.5439864275376, -113.537171719828)",POINT (-113.537171719828 53.5439864275376)
9806 100 STREET NW,Rossdale,6,DC1,Central,308.56,Central Core,"1) Rezoning: To rezone from DC1 to DC1, AP, A",PRIVATE,73,53.5359952434582,-113.491486432057,"(53.5359952434582, -113.491486432057)",POINT (-113.491486432057 53.5359952434582)
9741 73 AVENUE NW,Ritchie,11,RF3,Central,505.378,Mature,NA,PRIVATE,,53.5092171474089,-113.481990380847,"(53.5092171474089, -113.481990380847)",POINT (-113.481990380847 53.5092171474089)
9637 105 STREET NW,Rossdale,6,DC1,Central,234.786,Central Core,NA,MUNICIPAL,81,53.5335477027181,-113.50055268685,"(53.5335477027181, -113.50055268685)",POINT (-113.50055268685 53.5335477027181)
10712 95 STREET NW,McCauley,6,RA7,Central,307.929,Central Core,NA,PRIVATE,,53.5532687279767,-113.483645950487,"(53.5532687279767, -113.483645950487)",POINT (-113.483645950487 53.5532687279767)
403 BELVEDERE GATE NW,Belvedere,4,DC1,Central,13442.876,Mature,"1) Sign Development Permit: Job No 145344419-001: To construct (2) Temporary Freestanding On-Premises Signs (STATION POINTE VILLAGE SALES CENTRE) for a max duration of 2 years ENDING 25-FEB-2016. 2) Major Development Permit: Job No 138208341-001: To construct 2 Apartment House / Commercial Builldings (Mid Rise), 2 Apartment Houses (Mid Rise), an Apartment House (High Rise) having an underground Parking Garage and an Accessory builiding (social gathering building).",PRIVATE,,53.5857929389709,-113.439916882118,"(53.5857929389709, -113.439916882118)",POINT (-113.439916882118 53.5857929389709)
12803 65 STREET NW,Belvedere,4,RA9,Central,311.309,Mature,NA,PRIVATE,,53.5867563162184,-113.441016082319,"(53.5867563162184, -113.441016082319)",POINT (-113.441016082319 53.5867563162184)
10216 96 STREET NW,Boyle Street,6,DC1,Central,307.13,Central Core,NA,PRIVATE,18,53.5451662745381,-113.483178976208,"(53.5451662745381, -113.483178976208)",POINT (-113.483178976208 53.5451662745381)
11323 124 AVENUE NW,Edmonton City Centre Airport,2,MA2,Central,14989.272,Special - Developing,NA,PRIVATE,,53.5790404176514,-113.518725923889,"(53.5790404176514, -113.518725923889)",POINT (-113.518725923889 53.5790404176514)
9649 106 AVENUE NW,McCauley,6,RA8,Central,375.573,Central Core,NA,PRIVATE,44,53.5500959758762,-113.487712252214,"(53.5500959758762, -113.487712252214)",POINT (-113.487712252214 53.5500959758762)
11323 79 STREET NW,Edmonton Northlands,7,RF1,Central,61.316,Mature,NA,MUNICIPAL,127,53.5634887658473,-113.462071318576,"(53.5634887658473, -113.462071318576)",POINT (-113.462071318576 53.5634887658473)
9619 105A AVENUE NW,McCauley,6,DC1,Central,374.465,Central Core,NA,PRIVATE,40,53.5494756048444,-113.485830763531,"(53.5494756048444, -113.485830763531)",POINT (-113.485830763531 53.5494756048444)
11261 79 STREET NW,Cromdale,7,AP,Central,457.744,Mature,NA,PRIVATE,123,53.5622452614238,-113.46202240504,"(53.5622452614238, -113.46202240504)",POINT (-113.46202240504 53.5622452614238)
10425 107 AVENUE NW,Central McDougall,6,CB1,Central,698.029,Central Core,NA,PRIVATE,30,53.5511634605575,-113.500502130057,"(53.5511634605575, -113.500502130057)",POINT (-113.500502130057 53.5511634605575)
10615 95 STREET NW,McCauley,6,RA7,Central,373.701,Central Core,NA,PRIVATE,52,53.5517742922939,-113.481962563306,"(53.5517742922939, -113.481962563306)",POINT (-113.481962563306 53.5517742922939)
13115 104 AVENUE NW,Glenora,6,RF1,Central,603.147,Mature,"1) House Development Permit: Job No 141747067-001: To construct a Single House with uncovered deck (max 7.32m x 3.66m), fireplace and to demolish an existing Single House 2) House Development Permit: Job No 147268256-001: To construct a single detached house with a front covered porch, rear deck (1.37m x 7.32m) and fireplace. 3) Accessory Building Development Permit: Job No 141747067-003: To construct an Accessory Building (10.36m x 6.53m rear deatched garage )",PRIVATE,,53.5459037701666,-113.549093843597,"(53.5459037701666, -113.549093843597)",POINT (-113.549093843597 53.5459037701666)
11836 77 STREET NW,Eastwood,7,RA9,Central,367.781,Mature,NA,MUNICIPAL,134,53.5714751962893,-113.459962625365,"(53.5714751962893, -113.459962625365)",POINT (-113.459962625365 53.5714751962893)
18104 100 AVENUE NW,Place LaRue,1,DC2,West,11941.971,Established,NA,PRIVATE,201,53.5383107480431,-113.634411613535,"(53.5383107480431, -113.634411613535)",POINT (-113.634411613535 53.5383107480431)
11261 79 STREET NW,Cromdale,7,AP,Central,244.69,Mature,NA,MUNICIPAL,,53.5622452614238,-113.46202240504,"(53.5622452614238, -113.46202240504)",POINT (-113.46202240504 53.5622452614238)
10044 106 STREET NW,Downtown,6,CMU,Central,699.023,Central Core,NA,PRIVATE,90,53.5401903950275,-113.503442709715,"(53.5401903950275, -113.503442709715)",POINT (-113.503442709715 53.5401903950275)
4613 118 AVENUE NW,Beverly Heights,7,CB1,Central,279.076,Mature,NA,PRIVATE,150,53.5701050620076,-113.412984709554,"(53.5701050620076, -113.412984709554)",POINT (-113.412984709554 53.5701050620076)
10548 66 AVENUE NW,Allendale,10,RF3,Central,404.728,Mature,NA,PRIVATE,,53.5028208487589,-113.502783670424,"(53.5028208487589, -113.502783670424)",POINT (-113.502783670424 53.5028208487589)
15060 125 STREET NW,Baranow,2,IB,North,5794.457,Established,NA,PRIVATE,196,53.6128919990511,-113.5391227125,"(53.6128919990511, -113.5391227125)",POINT (-113.5391227125 53.6128919990511)
11042 124 STREET NW,Westmount,6,CB1,Central,673.124,Mature,NA,PRIVATE,99,53.5586557939512,-113.536426933896,"(53.5586557939512, -113.536426933896)",POINT (-113.536426933896 53.5586557939512)
12206 111 AVENUE NW,Inglewood,2,RA7,Central,644.838,Mature,1) Major Development Permit: Job No 148756421-001: To construct a 16 Dwelling Apartment House building and to demolish the existing Single Detached House and rear detached garage.,PRIVATE,,53.558807141005,-113.532887008057,"(53.558807141005, -113.532887008057)",POINT (-113.532887008057 53.558807141005)
9603 153 AVENUE NW,Evansdale,3,RF1,Central,510.773,Mature,NA,PRIVATE,152,53.6137419173238,-113.490022723722,"(53.6137419173238, -113.490022723722)",POINT (-113.490022723722 53.6137419173238)
11931 FORT ROAD NW,Eastwood,7,RA7,Central,396.818,Mature,,MUNICIPAL,,53.5727558877516,-113.461950990191,"(53.5727558877516, -113.461950990191)",POINT (-113.461950990191 53.5727558877516)
9529 108 AVENUE NW,McCauley,6,RA7,Central,375.003,Central Core,NA,PRIVATE,47,53.5542651231514,-113.485334865738,"(53.5542651231514, -113.485334865738)",POINT (-113.485334865738 53.5542651231514)
9335 107A AVENUE NW,McCauley,6,RA7,Central,374.116,Central Core,NA,PRIVATE,61,53.5539438877647,-113.48189548576,"(53.5539438877647, -113.48189548576)",POINT (-113.48189548576 53.5539438877647)
8412 110 AVENUE NW,Boyle Street,6,DC1,Central,1236.289,Central Core,NA,PRIVATE,19,53.5583836887987,-113.471919210521,"(53.5583836887987, -113.471919210521)",POINT (-113.471919210521 53.5583836887987)
12810 WOODBEND PLACE NW,Westmount,6,RF3,Central,891.811,Mature,NA,PRIVATE,96,53.5470803851372,-113.543960142754,"(53.5470803851372, -113.543960142754)",POINT (-113.543960142754 53.5470803851372)
11447 90 STREET NW,Alberta Avenue,7,RF3,Central,367.791,Mature,NA,PRIVATE,,53.5656871387388,-113.479260292132,"(53.5656871387388, -113.479260292132)",POINT (-113.479260292132 53.5656871387388)
12420 49 STREET NW,Bergman,7,AGU,Central,287.68,Mature,NA,PRIVATE,137,53.5806687182382,-113.417277466718,"(53.5806687182382, -113.417277466718)",POINT (-113.417277466718 53.5806687182382)
5816 141 STREET NW,Brookside,9,RF1,Southwest,1037.606,Established,"1) Minor Development Permit: Job No 134153207-001: To demolish a single house.  2) House Development Permit: Job No 137569300-001: To construct a single detached house with rear attached garage, front veranda, rear covered deck (5.18m x5.18m), basement development, (fireplaces, basement one, two on main floor, rear covered deck, second floor) Second floor balcony (3.05m x 1.98m), uncovered roof deck (5.69m x 5.41m).",PRIVATE,,53.4957951050004,-113.563915476367,"(53.4957951050004, -113.563915476367)",POINT (-113.563915476367 53.4957951050004)
9220 111 AVENUE NW,Alberta Avenue,7,CNC,Central,155.739,Mature,NA,PRIVATE,109,53.5607640466629,-113.483388070788,"(53.5607640466629, -113.483388070788)",POINT (-113.483388070788 53.5607640466629)
10436 85 AVENUE NW,Strathcona,8,RF4,Central,74.193,Central Core,NA,PRIVATE,86,53.5211055894158,-113.499753650158,"(53.5211055894158, -113.499753650158)",POINT (-113.499753650158 53.5211055894158)
11507 75 AVENUE NW,Belgravia,8,RF1,Central,556.245,Mature,NA,PRIVATE,,53.5110397566825,-113.529334819271,"(53.5110397566825, -113.529334819271)",POINT (-113.529334819271 53.5110397566825)
10420 GLENORA CRESCENT NW,Glenora,6,RF1,Central,620.294,Mature,NA,PRIVATE,,53.5470020063823,-113.548264076456,"(53.5470020063823, -113.548264076456)",POINT (-113.548264076456 53.5470020063823)
10640 150 STREET NW,Canora,1,RF2,Central,907.07,Mature,NA,PRIVATE,163,53.5507879073568,-113.580326500337,"(53.5507879073568, -113.580326500337)",POINT (-113.580326500337 53.5507879073568)
14412 STONY PLAIN ROAD NW,Grovenor,6,RF3,Central,383.197,Mature,NA,PRIVATE,156,53.5426354223882,-113.569826949953,"(53.5426354223882, -113.569826949953)",POINT (-113.569826949953 53.5426354223882)
10612 98 STREET NW,McCauley,6,CB2,Central,368.31,Central Core,NA,PRIVATE,58,53.5503624560236,-113.490630495692,"(53.5503624560236, -113.490630495692)",POINT (-113.490630495692 53.5503624560236)
11436C 97 STREET NW,Spruce Avenue,2,RA7,Central,459.71,Mature,NA,PRIVATE,,53.5653708215844,-113.49240799981,"(53.5653708215844, -113.49240799981)",POINT (-113.49240799981 53.5653708215844)
12403 GRAND VIEW DRIVE NW,Grandview Heights,10,RF1,Central,1098.4,Mature,NA,PRIVATE,,53.5035623367208,-113.543905029734,"(53.5035623367208, -113.543905029734)",POINT (-113.543905029734 53.5035623367208)
11834 77 STREET NW,Eastwood,7,RA9,Central,367.723,Mature,NA,MUNICIPAL,134,53.5713848798131,-113.459962991072,"(53.5713848798131, -113.459962991072)",POINT (-113.459962991072 53.5713848798131)
11002 76 STREET NW,Cromdale,7,RF1,Central,343.795,Mature,NA,MUNICIPAL,,53.5593740112439,-113.456605460422,"(53.5593740112439, -113.456605460422)",POINT (-113.456605460422 53.5593740112439)
7749 88 AVENUE NW,Idylwylde,8,RF1,Central,594.541,Mature,"1) Minor Development Permit: Job No 153535082-001: To construct a Semi-detached House with front verandas, fireplaces, and rear uncovered decks (2.44m x 3.81m) 2) Accessory Building Development Permit: Job No 153535082-003: To construct an Accessory Building (rear Detached Garage - 6.40m x 12.19m).",PRIVATE,,53.5234278746304,-113.448405908201,"(53.5234278746304, -113.448405908201)",POINT (-113.448405908201 53.5234278746304)
12320 49 STREET NW,Bergman,7,RF1,Central,287.719,Mature,NA,PRIVATE,138,53.5790509351135,-113.417279466584,"(53.5790509351135, -113.417279466584)",POINT (-113.417279466584 53.5790509351135)
16831 100 AVENUE NW,Glenwood,1,DC2,Central,3801.837,Mature,NA,PRIVATE,,53.5389048523368,-113.612545145488,"(53.5389048523368, -113.612545145488)",POINT (-113.612545145488 53.5389048523368)
3839 112 AVENUE NW,Beverly Heights,7,RF1,Central,835.775,Mature,"1) House Development Permit: Job No 146743597-001: To construct a single detached house with front double attached garage, rear uncovered deck (L-shape 3.05m x 7.32m), front veranda and fireplace",PRIVATE,,53.5647589224629,-113.402459722704,"(53.5647589224629, -113.402459722704)",POINT (-113.402459722704 53.5647589224629)
10121 154 STREET NW,Canora,1,RA7,Central,687.156,Mature,NA,PRIVATE,161,53.5424607599469,-113.586310933452,"(53.5424607599469, -113.586310933452)",POINT (-113.586310933452 53.5424607599469)
10137 115 STREET NW,Oliver,6,RA9,Central,348.35,Central Core,NA,PRIVATE,64,53.5418844660943,-113.518933873332,"(53.5418844660943, -113.518933873332)",POINT (-113.518933873332 53.5418844660943)
9615 105 STREET NW,Rossdale,6,DC1,Central,346.727,Central Core,NA,MUNICIPAL,83,53.5329522163791,-113.500640794641,"(53.5329522163791, -113.500640794641)",POINT (-113.500640794641 53.5329522163791)
14421 103 AVENUE NW,Grovenor,6,RF3,Central,383.472,Mature,NA,PRIVATE,159,53.5437588496262,-113.570314266053,"(53.5437588496262, -113.570314266053)",POINT (-113.570314266053 53.5437588496262)
9910 104 STREET NW,Downtown,6,HDR,Central,562.748,Central Core,NA,PRIVATE,88,53.5376333517198,-113.499776985495,"(53.5376333517198, -113.499776985495)",POINT (-113.499776985495 53.5376333517198)
12620 118 AVENUE NW,Prince Charles,2,CB1,Central,424.004,Mature,1) Sign Development Permit: Job No 455827-005: To extend the duration of an Off-Premise Freestanding general advertising sign. (two sided - facing East/West),PRIVATE,130,53.5706320749228,-113.540721802097,"(53.5706320749228, -113.540721802097)",POINT (-113.540721802097 53.5706320749228)
10331 93 STREET NW,Boyle Street,6,DC1,Central,376.388,Central Core,NA,PRIVATE,2,53.54846548531,-113.476512665852,"(53.54846548531, -113.476512665852)",POINT (-113.476512665852 53.54846548531)
5112 154 STREET NW,Ramsay Heights,9,RF1,Southwest,2720.668,Established,NA,PRIVATE,211,53.4896950626066,-113.585045667632,"(53.4896950626066, -113.585045667632)",POINT (-113.585045667632 53.4896950626066)
10194 92 STREET NW,Riverdale,6,RF2,Central,731.529,Central Core,NA,PRIVATE,,53.5454112473241,-113.473815905512,"(53.5454112473241, -113.473815905512)",POINT (-113.473815905512 53.5454112473241)
10916 82 STREET NW,Cromdale,7,DC2,Central,880.671,Mature,1) Minor Development Permit: Job No 135599891-001: To demolish a (9 suite Apartment) building and a 3 Car detached Garage.,PRIVATE,,53.5572289444459,-113.467763384432,"(53.5572289444459, -113.467763384432)",POINT (-113.467763384432 53.5572289444459)
9722 150 STREET NW,West Jasper Place,1,RF1,Central,687.061,Mature,1) House Development Permit: Job No 134693289-001: To construct a single detached house with an rear uncovered deck 3.66m x 3.05m 2) Accessory Building Development Permit: Job No 134693289-002: To construct an Accessory Building (Detached Garage),PRIVATE,,53.5353266699771,-113.580274019238,"(53.5353266699771, -113.580274019238)",POINT (-113.580274019238 53.5353266699771)
11811 91 STREET NW,Alberta Avenue,7,RF3,Central,367.71,Mature,NA,PRIVATE,,53.5707992892796,-113.480789976315,"(53.5707992892796, -113.480789976315)",POINT (-113.480789976315 53.5707992892796)
9203 88 AVENUE NW,Bonnie Doon,8,CSC,Central,458.769,Mature,NA,PRIVATE,,53.5231840713177,-113.468279422676,"(53.5231840713177, -113.468279422676)",POINT (-113.468279422676 53.5231840713177)
9518 105 STREET NW,Rossdale,6,DC1,Central,493.037,Central Core,NA,MUNICIPAL,80,53.5316037552434,-113.501409573023,"(53.5316037552434, -113.501409573023)",POINT (-113.501409573023 53.5316037552434)
4708 DONSDALE DRIVE NW,Donsdale,5,RF1,West,748.084,Established,NA,PRIVATE,203,53.4859120056987,-113.631722505803,"(53.4859120056987, -113.631722505803)",POINT (-113.631722505803 53.4859120056987)
8948 82 AVENUE NW,Bonnie Doon,8,CSC,Central,404.7,Mature,NA,PRIVATE,185,53.5183376496738,-113.467044534541,"(53.5183376496738, -113.467044534541)",POINT (-113.467044534541 53.5183376496738)
3420 19 STREET NW,Wild Rose,12,RSL,Southeast,471.393,Established,NA,PRIVATE,,53.4682730673516,-113.372506784187,"(53.4682730673516, -113.372506784187)",POINT (-113.372506784187 53.4682730673516)
9601 105 STREET NW,Rossdale,6,DC1,Central,101.764,Central Core,NA,MUNICIPAL,80,53.5329252852044,-113.499939756784,"(53.5329252852044, -113.499939756784)",POINT (-113.499939756784 53.5329252852044)
10656 97 STREET NW,McCauley,6,CB2,Central,308.542,Central Core,NA,PRIVATE,,53.5514022933797,-113.489617561517,"(53.5514022933797, -113.489617561517)",POINT (-113.489617561517 53.5514022933797)
11239 79 STREET NW,Cromdale,7,AP,Central,350.164,Mature,NA,MUNICIPAL,125,53.5614961526677,-113.462066352114,"(53.5614961526677, -113.462066352114)",POINT (-113.462066352114 53.5614961526677)
9620 104 STREET NW,Rossdale,6,DC1,Central,310.493,Central Core,NA,PROVINCIAL,75,53.5332245179766,-113.499769579315,"(53.5332245179766, -113.499769579315)",POINT (-113.499769579315 53.5332245179766)
11209 86 STREET NW,Parkdale,7,DC2,Central,1839.42,Mature,NA,PRIVATE,,53.5614275824023,-113.472865458937,"(53.5614275824023, -113.472865458937)",POINT (-113.472865458937 53.5614275824023)
